time_ms,has_target,X_cam,Y_cam,Z_cam
1784614297509,1,0.884000,-0.004724,-0.050191
1784614297542,1,0.885000,-0.006195,-0.051717
1784614297577,1,0.886000,-0.009136,-0.054716
1784614297609,1,0.888000,-0.015773,-0.055577
1784614297643,1,0.887000,-0.023098,-0.056986
1784614297677,1,0.890000,-0.033491,-0.057179
1784614297711,1,0.890000,-0.037175,-0.059395
1784614297744,1,0.890000,-0.042332,-0.061611
1784614297779,1,0.890000,-0.043069,-0.062350
1784614297813,1,0.889000,-0.043021,-0.062280
1784614297845,1,0.888000,-0.042237,-0.061473
1784614297879,1,0.883000,-0.043461,-0.059661
1784614297912,1,0.874000,-0.045912,-0.060503
1784614297945,1,0.872000,-0.047251,-0.060365
1784614297980,1,0.869000,-0.049966,-0.058715
1784614298014,1,0.866000,-0.053378,-0.059231
1784614298045,1,0.865000,-0.054033,-0.057009
1784614298079,1,0.863000,-0.050336,-0.056161
1784614298113,1,0.859000,-0.049391,-0.055188
1784614298148,1,0.852000,-0.048283,-0.055445
1784614298180,1,0.847000,-0.045195,-0.053714
1784614298215,1,0.843000,-0.043586,-0.053460
1784614298247,1,0.838000,-0.042634,-0.056620
1784614298282,1,0.831000,-0.038150,-0.057527
1784614298315,1,0.828000,-0.035956,-0.056632
1784614298349,1,0.821000,-0.034972,-0.056834
1784614298381,1,0.818000,-0.034845,-0.057984
1784614298417,1,0.813000,-0.032612,-0.059654
1784614298451,1,0.806000,-0.032332,-0.060478
1784614298483,1,0.800000,-0.030766,-0.061356
1784614298517,1,0.793000,-0.029841,-0.062794
1784614298552,1,0.788000,-0.030957,-0.063706
1784614298584,1,0.781000,-0.033268,-0.065732
1784614298617,1,0.775000,-0.034296,-0.062655
1784614298651,1,0.769000,-0.039760,-0.060255
1784614298684,1,0.765000,-0.043986,-0.058037
1784614298721,1,0.760000,-0.045586,-0.054504
1784614298751,1,0.755000,-0.045286,-0.050386
1784614298786,1,0.751000,-0.043803,-0.047626
1784614298818,1,0.748000,-0.042390,-0.047435
1784614298852,1,0.745000,-0.038519,-0.046009
1784614298886,1,0.741000,-0.035245,-0.046377
1784614298919,1,0.737000,-0.034445,-0.049185
1784614298954,1,0.734000,-0.032482,-0.049593
1784614298988,1,0.732000,-0.029969,-0.051888
1784614299022,1,0.728000,-0.028600,-0.055230
1784614299057,1,0.724000,-0.027844,-0.054326
1784614299088,1,0.721000,-0.030713,-0.057092
1784614299122,1,0.718000,-0.030585,-0.058047
1784614299157,1,0.715000,-0.032825,-0.057804
1784614299189,1,0.712000,-0.033276,-0.055789
1784614299224,1,0.710000,-0.031420,-0.056221
1784614299256,1,0.706000,-0.032412,-0.054733
1784614299290,1,0.705000,-0.030615,-0.051730
1784614299323,1,0.702000,-0.033390,-0.050927
1784614299357,1,0.701000,-0.032762,-0.050273
1784614299390,1,0.699000,-0.032669,-0.046649
1784614299424,1,0.697000,-0.029690,-0.045937
1784614299458,1,0.694000,-0.031861,-0.045739
1784614299492,1,0.694000,-0.033010,-0.044587
1784614299525,1,0.692000,-0.032342,-0.041587
1784614299559,1,0.691000,-0.030007,-0.036939
1784614299592,1,0.690000,-0.032248,-0.033450
1784614299627,1,0.689000,-0.033913,-0.027111
1784614299661,1,0.688000,-0.030446,-0.019078
1784614299694,1,0.687000,-0.028127,-0.007647
1784614299728,1,0.687000,-0.028127,0.001475
1784614299761,1,0.687000,-0.027558,0.016869
1784614299794,1,0.686000,-0.026382,0.031647
1784614299827,1,0.687000,-0.026421,0.048798
1784614299861,1,0.687000,-0.025852,0.065333
1784614299895,1,0.688000,-0.023611,0.081415
1784614299930,1,0.691000,-0.026575,0.098401
1784614299962,1,0.694000,-0.024966,0.117835
1784614299997,1,0.698000,-0.026266,0.133576
1784614300030,1,0.703000,-0.027036,0.146785
1784614300063,1,0.712000,-0.026203,0.155755
1784614300098,1,0.717000,-0.025794,0.162204
1784614300130,1,0.727000,-0.026755,0.167483
1784614300163,1,0.737000,-0.026513,0.169175
1784614300197,1,0.748000,-0.025671,0.166734
1784614300231,1,0.759000,-0.024163,0.162257
1784614300264,1,0.773000,-0.024609,0.156268
1784614300298,1,0.784000,-0.023661,0.149383
1784614300331,1,0.798000,-0.021441,0.141454
1784614300364,1,0.813000,-0.021844,0.130618
1784614300398,1,0.825000,-0.017386,0.116798
1784614300430,1,0.841000,-0.007976,0.102313
1784614300465,1,0.855000,0.002509,0.084857
1784614300498,1,0.872000,0.007612,0.067005
1784614300533,1,0.883000,0.004784,0.045865
1784614300566,1,0.897000,-0.004051,0.031704
1784614300601,1,0.910000,-0.016917,0.019324
1784614300634,1,0.918000,-0.026185,0.010352
1784614300667,1,0.927000,-0.036418,0.005068
1784614300702,1,0.941000,-0.040863,0.002802
1784614300735,1,0.945000,-0.041037,0.001245
1784614300772,1,0.952000,-0.038976,0.002044
